IV1,IV2,DV
5,762,10.7
13,1670,11.4
0,389,6.6
2,2376,12.5
9,879,8.6
11,2220,13.6
9,1744,9.4
3,614,13.4
9,1312,9.0
6,1227,7.0
5,1032,5.9
9,1804,8.5
3,964,6.5
7,1552,14.5
0,430,14.7
8,693,6.2
3,2649,13.5
2,1110,9.8
2,1353,12.1
9,2035,14.4
0,811,8.1
13,868,8.4
1,1462,10.2
16,1057,5.6
4,742,5.3
17,1746,13.3
5,1371,12.2
3,301,6.5
1,1458,12.0
2,988,9.5
0,257,8.6
8,2769,14.3
0,1153,13.4
4,2405,14.1
9,1042,10.1
1,2077,9.4
1,1298,12.8
6,743,12.7
10,1646,9.9
0,595,7.5
3,1348,9.5
4,2255,14.4
7,1144,9.0
3,324,9.3
3,714,9.4
4,665,5.4
0,1990,13.3
8,1099,10.6
16,567,6.3
1,731,8.3
18,1823,10.1
5,1621,8.4
14,708,5.9
9,706,7.7
4,685,5.2
5,1374,14.2
9,1834,11.8
15,391,5.3
0,264,6.6
10,1892,10.7
1,944,9.3
0,665,8.0
1,1640,11.8
5,546,7.1
3,148,5.1
7,1295,13.0
0,1087,14.9
1,3170,14.9
1,2402,14.3
0,283,8.8
1,576,9.8
11,1611,14.0
12,1633,12.2
0,645,5.4
4,1123,11.0
4,1520,12.8
0,372,8.8
2,804,5.7
21,1972,11.8
8,779,6.6
3,589,8.6
1,746,5.9
8,1255,7.7
1,1218,9.6
5,1938,14.9
5,1592,11.1
13,1339,6.4
11,2322,15.0
4,1430,10.3
5,1050,6.2
0,644,9.2
3,899,13.3
1,1009,5.3
7,848,10.9
3,604,6.9
6,979,12.4
19,2500,14.4
0,1053,13.1
1,557,8.9
9,2010,11.6
1,842,5.2
1,530,8.5
17,1236,8.5
7,928,11.8
11,822,8.1
11,1468,10.6
7,1130,11.5
1,997,8.7
7,1118,9.8
0,521,10.2
5,2216,14.3
9,1830,12.9
9,1405,9.1
0,861,12.2
3,1028,10.3
0,687,6.4
7,718,5.1
5,582,10.2
2,1116,7.4
6,937,8.2
7,2108,13.9
14,1740,10.6
6,2607,14.1
4,509,5.6
10,1870,13.7
13,1739,9.9
3,784,12.6
8,1586,11.6
0,2185,11.0
9,1010,5.3
18,665,5.1
6,1125,6.2
0,349,5.9
9,595,7.9
12,1343,9.7
4,795,10.9
1,1362,9.2
12,2015,11.6
17,2847,14.5
3,1476,11.8
10,763,8.1
9,550,5.6
8,1399,10.7
0,787,10.1
0,1073,10.8
3,889,11.5
7,1133,7.9
3,1156,11.0
4,569,5.8
18,779,5.1
3,1984,14.8
0,1091,14.5
10,2500,13.3
12,959,5.7
14,2371,14.8
0,397,14.2
5,906,9.4
1,502,6.3
1,772,5.5
1,1486,13.3
1,704,7.8
12,1838,11.3
3,1453,7.5
2,993,12.7
6,862,8.1
4,1316,11.1
4,1213,8.0
3,972,5.0
4,1155,9.2
0,745,12.4
11,1860,13.0
0,641,10.0
11,2469,13.7
16,2442,14.1
4,869,5.1
7,1533,9.9
8,1634,10.4
1,836,13.7
0,649,8.4
10,539,7.3
1,3170,14.9
1,1997,12.5
3,1978,12.0
1,1122,14.8
9,1102,7.9
0,1079,12.1
13,983,9.2
0,577,5.1
7,1528,11.8
6,1039,12.6
17,1038,6.1
10,1915,14.1
1,198,7.3
1,986,7.1
6,1237,11.1
0,971,8.0
9,790,11.3
20,1989,9.4
8,1469,10.0
11,1162,6.7
0,179,11.7
17,2146,11.5
4,2213,13.9
10,821,5.6
6,1151,6.9
4,1605,14.1
16,2657,14.7
11,948,5.0
4,353,5.6
3,1941,14.1
5,614,5.6
4,1318,8.9
0,716,9.5
21,1914,10.1
7,1416,10.1
8,1577,13.9
2,909,12.2
3,1320,9.2
10,2794,14.7
16,962,5.8
1,476,14.5
3,1285,11.5
4,1909,13.6
9,892,6.2
11,1797,12.3
6,1547,10.5
11,1798,10.0
4,2665,13.8
6,1658,14.2
10,1231,6.9
0,943,12.1
14,433,5.4
6,319,6.5
13,2054,12.6
10,929,6.8
3,524,8.5
0,895,13.1
3,429,6.1
3,1024,8.6
3,1516,14.8
0,435,13.1
1,774,14.3
2,1467,13.5
0,411,7.3
1,722,11.7
3,599,11.3
1,534,10.4
9,1000,8.6
4,1715,12.5
9,910,5.2
12,1315,13.4
22,2415,14.3
0,461,13.0
4,405,8.2
0,1198,9.2
2,675,7.2
1,1773,12.0
5,1502,13.4
12,2695,14.8
2,912,5.6
5,1070,14.3
0,597,7.2
12,1273,9.5
1,1178,6.1
13,1246,6.2
0,501,6.4
4,986,11.5
8,1365,9.2
10,326,5.4
0,726,10.5
8,1125,8.9
4,2133,13.3
12,1945,9.6
8,1170,8.0
21,722,7.2
16,1733,12.0
4,1823,13.4
0,597,6.1
1,1402,11.2
1,1127,6.5
2,1218,9.4
12,1991,10.2
10,1211,12.7
0,659,14.9
8,1494,11.8
0,705,9.2
8,867,8.4
9,2332,14.0
3,1114,7.3
3,1570,11.5
4,2585,13.7
6,1783,13.6
5,1206,11.7
20,2243,14.0
3,1200,10.7
16,1692,10.6
1,1582,8.9
2,1299,6.4
6,1707,11.9
6,1183,9.2
16,1691,12.2
8,611,8.4
5,1896,14.6
2,1893,11.5
5,406,5.1
6,1656,11.1
9,1869,14.0
2,1353,8.5
2,1095,6.4
5,873,8.7
9,907,8.6
8,1359,9.9
5,879,7.9
7,1148,7.3
0,1021,14.0
6,627,10.1
11,1584,14.7
7,1358,12.9
3,284,5.5
15,970,6.6
0,1801,11.1
15,1376,12.0
13,1424,8.5
2,852,15.0
2,1293,12.1
8,1737,13.5
4,615,10.9
10,1226,12.4
4,698,7.8
0,1451,13.8
13,1239,9.4
1,749,6.5
4,852,5.8
9,1999,14.8
14,2223,13.5
7,1704,12.5
2,419,9.3
20,405,5.3
17,1975,14.7
0,789,13.2
5,1381,7.2
21,390,5.9
9,1879,10.8
1,586,9.5
3,322,5.3
4,950,12.9
1,1146,7.7
7,1754,13.0
3,1192,12.5
6,2119,10.3
7,866,8.0
6,1360,13.9
1,997,13.2
2,981,11.7
5,2172,12.5
10,578,6.6
1,1077,13.5
3,956,12.6
1,2263,13.2
4,1909,12.1
9,1462,11.8
0,751,5.6
17,1740,10.1
0,952,9.7
20,588,5.1
6,1921,10.6
4,1496,14.9
10,1342,13.9
0,1093,5.7
1,887,9.3
16,1343,11.6
10,193,5.6
1,290,8.8
0,134,5.1
9,2914,14.3
11,1860,11.1
13,854,5.4
0,263,10.0
1,779,11.1
17,1518,10.1
3,427,5.6
2,1040,5.9
4,1895,13.8
12,613,5.7
1,817,13.3
7,1763,15.0
0,469,13.4
7,1917,10.3
12,1370,7.1
1,1157,11.9
15,1200,6.4
2,1251,13.7
2,1939,9.4
0,1261,6.8
1,695,8.2
0,676,14.4
2,371,9.3
3,988,7.8
1,471,8.5
20,1218,7.5
6,751,9.5
0,763,13.9
0,733,7.1
11,1200,6.9
4,875,9.0
7,2546,13.8
4,893,9.2
1,2643,14.7
12,1729,11.7
4,635,5.7
2,969,7.3
14,499,6.3
6,2002,11.5
1,1412,12.5
0,1025,5.7
6,1474,10.3
12,1939,11.8
0,439,14.9
7,864,11.7
0,305,6.1
18,548,6.0
0,1089,8.2
4,1255,12.8
23,1608,11.0
9,2034,11.4
0,264,11.4
5,1056,13.1
11,1644,10.9
0,821,14.9
11,1266,7.4
1,476,12.2
1,1787,12.0
23,1776,11.5
5,1422,7.8
3,1028,10.4
19,1820,11.6
1,1498,11.7
2,899,11.1
4,485,8.8
0,1186,11.7
7,836,11.2
2,511,8.7
16,2685,12.7
22,791,7.3
1,418,5.0
7,1112,6.1
15,1144,7.0
2,573,7.8
1,2207,14.6
0,1132,8.1
2,753,14.8
9,1950,12.7
1,2354,14.7
2,1119,10.2
3,2308,13.1
1,1490,8.2
1,510,7.3
0,1087,12.9
3,868,10.8
8,864,6.2
5,1358,8.7
8,1249,14.7
13,2846,13.8
5,1262,10.8
0,2395,15.0
3,724,8.6
4,1535,10.0
4,1111,8.7
13,1958,12.3
6,775,6.2
1,1862,14.2
4,1333,7.8
0,991,10.6
7,1688,14.1
5,2248,14.3
11,1002,5.7
2,1023,11.8
10,1223,11.4
0,1053,11.4
12,1222,8.8
2,309,5.6
10,887,7.0
1,722,10.7
6,987,7.1
6,2591,14.2
12,663,5.6
14,951,5.0
1,270,8.9
2,943,9.0
2,489,6.0
5,1506,14.5
1,452,6.7
5,972,8.4
6,1279,9.5
2,707,12.0
1,666,6.1
2,750,6.8
15,1441,8.2
10,1046,7.8
12,733,6.3
8,1099,9.5
16,2164,12.3
4,1105,6.6
6,1102,8.9
8,2265,14.0
2,735,13.6
11,1152,8.0
0,1141,12.5
14,1287,6.4
1,992,14.5
6,799,11.9
1,1304,10.2
10,791,6.3
11,1321,10.1
3,2683,15.0
1,1040,13.5
3,672,14.4
9,310,5.3
0,853,12.8
2,1151,14.0
7,1438,15.0
12,2198,13.8
4,379,6.3
0,670,7.6
2,855,7.5
14,1035,8.1
16,2457,14.4
10,638,9.6
8,315,5.7
0,826,9.6
9,1858,13.1
8,1319,13.5
14,2607,14.9
4,1050,10.3
7,496,5.8
8,379,6.3
12,1677,10.6
1,352,5.4
15,756,8.2
5,2967,15.0
4,1601,11.1
10,1331,11.6
19,1995,10.6
5,678,8.5
16,1696,11.6
1,989,5.5
10,277,5.7
16,2051,13.6
9,1778,14.4
18,1019,6.3
0,1717,9.9
1,858,13.8
0,2553,12.1
14,1737,10.8
2,1191,13.4
9,1460,8.9
10,641,7.1
1,428,13.1
9,538,5.8
0,761,9.0
3,684,14.0
20,2436,13.6
7,892,8.3
5,1896,11.4
1,1712,12.2
2,843,13.0
7,1736,14.4
14,1840,11.8
1,401,5.1
0,245,11.6
7,1321,13.1
7,1592,9.5
0,1411,9.7
9,1550,14.6
0,793,6.2
2,1443,9.6
5,1266,8.9
11,1084,10.6
1,1458,13.8
3,1108,11.2
0,1001,10.4
2,1191,11.0
1,767,5.0
13,1976,11.2
7,946,7.9
1,998,6.3
12,1063,9.6
2,1083,11.1
0,665,9.8
3,164,5.8
2,528,6.5
15,1516,10.7
13,1078,8.0
7,1319,7.5
0,1591,11.9
1,1082,10.1
1,938,7.2
6,577,6.5
0,1201,10.3
1,2070,12.0
5,874,7.3
4,977,5.2
14,2160,14.3
0,349,6.8
1,1346,10.1
15,947,8.3
10,2150,12.7
24,2525,13.3
0,1281,9.3
5,930,5.1
13,1844,12.9
0,2593,14.3
2,939,13.7
1,1432,7.3
6,1074,6.5
2,1344,12.4
0,1387,15.0
6,1602,11.2
7,512,8.8
16,1842,9.4
16,1328,11.3
0,605,8.5
6,1957,14.6
8,2056,12.0
1,2102,13.8
9,778,5.8
0,717,5.2
5,2490,12.2
2,1179,9.9
12,2413,12.3
12,2274,13.4
16,1938,14.1
7,1378,10.5
0,1421,14.0
2,143,5.0
3,1028,8.9
5,1348,13.8
16,2278,14.9
5,438,7.9
11,1117,9.3
2,1368,11.5
18,1999,9.7
0,909,5.8
15,1688,13.2
10,149,5.2
9,950,13.3
0,937,7.9
14,1664,10.1
0,1084,9.2
2,759,6.4
0,464,14.1
0,361,6.0
10,759,9.0
18,839,8.3
1,952,11.0
2,1207,13.7
6,1627,11.4
16,207,5.5
12,1872,12.6
5,2358,12.9
3,452,13.2
0,505,7.9
8,209,5.6
1,1878,13.8
24,2725,13.8
0,3026,13.6
16,2357,12.8
7,1898,9.9
13,2674,14.7
7,878,10.4
1,692,7.0
12,925,7.7
6,1710,11.1
3,812,13.7
0,415,5.4
0,516,7.3
0,2569,13.7
0,681,7.3
2,387,5.3
4,978,9.9
4,1383,14.8
3,1072,7.1
11,948,10.5
13,2020,13.0
7,1124,10.6
14,1131,7.4
5,1206,10.8
16,2561,13.4
5,912,12.5
1,626,6.4
3,892,5.7
16,2069,11.5
1,910,11.4
5,1238,10.2
2,1263,9.8
2,831,7.6
11,1140,6.9
1,898,8.1
0,445,10.7
4,2125,12.0
0,975,12.4
17,1329,7.6
10,2027,14.8
2,447,5.3
12,1761,13.2
14,1759,13.5
3,368,5.3
3,1282,9.8
16,1837,10.8
11,684,7.8
1,1286,11.0
1,598,11.5
3,616,7.0
19,1045,6.4
11,1236,7.2
2,396,10.5
16,967,6.1
15,1028,6.4
0,823,6.9
5,834,10.2
2,675,5.8
18,699,7.4
16,2701,14.4
1,950,9.2
0,537,12.6
11,1188,6.6
5,1596,12.8
1,604,5.9
7,1139,12.4
14,1583,12.2
2,1683,10.8
7,1292,13.5
10,1892,13.8
1,678,13.6
1,734,6.2
3,1302,14.4
1,288,11.8
0,880,13.5
7,1366,9.8
19,870,7.9
6,1239,11.7
0,490,5.9
14,393,5.1
1,760,14.0
2,750,7.8
2,765,10.6
7,1702,15.0
7,1286,15.0
10,319,6.0
3,1372,13.6
0,611,6.9
4,1421,14.2
17,893,7.0
6,145,5.0
2,311,5.8
0,157,6.4
2,933,11.7
24,2325,11.8
9,700,5.9
1,506,8.1
5,516,11.1
4,2021,12.4
4,1240,12.3
7,1854,11.8
4,1454,13.1
21,3334,14.9
2,1914,10.8
19,2860,14.7
9,2080,14.9
1,1190,7.1
18,1291,6.8
14,2897,14.6
6,1107,11.3
0,549,5.1
4,865,15.0
0,1205,12.1
6,1192,8.4
1,302,11.4
6,1075,8.9
1,437,10.6
15,1468,8.5
0,963,12.4
7,998,7.9
13,2114,11.2
11,2244,13.4
1,1227,7.7
19,2660,12.6
5,1680,13.7
1,1422,10.0
6,1393,9.4
0,568,6.3
2,1553,14.6
5,965,10.6
3,809,6.8
3,560,10.8
5,636,9.6
0,2224,12.1
13,1726,13.3
1,776,14.9
14,1842,10.3
1,2073,10.9
13,2014,12.5
6,1015,6.1
12,2081,10.8
10,973,8.4
8,1479,11.5
5,1224,11.3
14,1999,13.0
8,1322,10.3
10,1167,9.4
1,218,5.4
3,996,8.7
1,758,6.8
5,744,11.6
7,968,6.7
0,823,13.4
23,2568,11.6
0,542,5.3
12,1437,9.8
3,1516,13.6
21,1386,7.3
5,1175,15.0
2,1116,14.9
4,1733,10.5
10,2277,13.7
14,1715,14.3
6,767,6.8
1,1458,13.4
8,1241,9.4
10,935,11.6
11,980,7.5
9,967,9.7
0,2929,13.3
5,930,11.1
3,1109,11.0
4,642,8.7
0,844,9.0
3,1194,9.6
11,2301,13.5
0,1701,11.0
3,158,5.1
7,1324,9.3
3,692,5.8
14,1003,8.2
23,1049,7.1
8,1099,11.0
4,294,5.2
1,1472,13.0
1,234,5.5
18,1537,10.8
2,1038,11.5
14,1545,8.3
8,1449,13.8
3,1544,14.2
0,901,8.3
12,220,5.3
0,509,8.3
1,728,7.4
5,636,5.3
10,1145,8.8
0,208,6.7
13,1349,10.3
13,1400,8.0
3,712,7.6
1,1019,13.1
22,1511,7.9
16,2417,14.0
2,1103,8.0
15,1438,7.8
7,1520,11.6
7,983,6.5
5,302,6.6
0,1261,10.5
1,725,6.8
22,1847,8.7
7,956,11.4
0,694,9.6
0,365,10.7
1,632,9.2
12,1303,12.9
10,1259,11.3
4,1910,11.1
3,849,9.6
3,1588,13.5
18,1299,10.9
3,1620,12.9
17,474,5.8
12,1939,14.2
6,1031,9.6
6,1047,9.5
9,2080,13.3
15,436,6.0
2,1251,8.5
8,1629,10.5
1,1454,8.9
12,1077,11.0
0,2289,11.7
21,2230,11.5
11,894,6.0
3,544,5.3
3,232,5.6
3,1225,14.3
2,633,5.6
11,432,6.8
7,976,8.6
12,1393,8.6
1,860,10.5
2,651,5.0
9,1200,8.0
19,1952,10.5
0,285,14.9
6,207,5.1
0,1243,13.8
17,1043,6.8
1,659,6.6
7,800,5.6
8,1209,11.6
6,140,5.0
1,1058,7.6
0,961,5.3
2,1483,12.2
12,1495,9.4
0,513,6.6
0,677,8.8
5,1708,8.7
0,992,9.0
2,567,5.6
8,2095,14.9
15,814,8.7
0,638,6.7
14,1340,7.9
11,1116,8.6
3,829,9.9
7,1768,14.5
1,1192,13.4
3,655,8.4
8,1998,11.9
12,493,5.2
3,2902,13.4
3,720,12.1
4,1313,13.0
10,455,7.5
7,848,8.9
10,1035,10.8
9,1018,8.3
24,2325,11.6
4,1607,9.7
16,1797,12.2
5,1006,13.0
2,462,12.9
3,1159,11.2
11,1068,5.7
16,1193,8.8
6,1190,8.5
6,823,9.0
1,1696,10.5
18,916,5.0
20,879,6.1
4,2155,12.8
4,1305,14.8
1,582,8.9
3,2160,11.1
7,728,8.0
18,1636,12.1
3,1334,9.2
1,981,6.3
11,1665,11.2
23,2304,11.0
9,976,5.0
3,1201,10.6
12,1441,10.2
2,1533,9.7
4,1517,10.0
18,1767,9.3
14,1823,12.3
14,1239,8.3
0,663,6.3
8,1836,10.3
12,244,5.3
18,1219,8.3
1,1694,13.0
5,1578,14.2
11,1542,12.4
5,1056,7.3
1,924,5.5
7,1608,12.5
7,489,5.9
11,2556,15.0
18,2269,11.9
15,1316,6.3
11,732,7.9
0,459,12.8
0,550,9.6
0,2369,14.0
19,2820,14.7
3,480,9.6
3,2116,14.0
6,2007,12.1
18,1192,6.1
14,1212,6.8
10,795,7.3
0,943,10.3
7,1128,8.1
2,1659,8.7
11,2028,14.4
16,2921,14.4
1,2491,14.4
11,2637,13.8
3,1796,13.5
17,1206,9.9
11,879,6.1
19,2418,12.3
5,782,11.1
8,1088,6.6
2,564,12.8
12,1713,9.7
0,826,13.5
2,627,11.5
18,1615,10.7
7,1984,12.9
5,244,5.4
8,2258,14.8
2,783,7.9
1,278,6.6
3,1048,13.6
1,724,9.2
3,1434,11.6
4,1805,10.3
10,1763,13.8
9,838,11.1
6,1267,8.1
14,1665,8.8
2,2019,13.7
3,584,5.5
2,813,5.8
18,964,7.2
3,256,5.4
0,1131,9.8
15,1289,10.2
21,2322,13.7
3,1180,13.6
7,1215,8.2
7,1148,8.3
6,367,5.1
0,499,7.5
2,1208,9.7
12,1831,13.8
18,2369,14.0
11,712,7.1
11,1712,9.3
7,1733,11.2
2,528,8.8
1,1187,12.7
3,1300,9.8
6,1036,12.5
7,698,7.3
10,267,5.8
2,1620,10.9
3,734,6.1
10,1243,8.9
7,908,5.0
5,230,5.5
4,773,13.3
6,1117,9.6
7,1436,8.9
5,1581,8.2
4,1461,10.8
5,1518,14.1
8,1428,11.6
2,696,7.1
3,1489,9.8
3,805,8.9
2,1355,12.2
2,1353,14.6
8,1189,10.2
11,2844,14.5
0,648,6.0
11,1740,9.7
8,2746,13.3
11,876,7.0
3,616,7.1
1,498,7.1
14,751,5.7
15,808,7.9
5,1392,11.8
16,1957,10.9
4,2185,11.8
6,1387,8.2
6,1437,13.5
6,651,6.5
3,640,5.4
12,1905,11.5
2,756,12.1
7,1536,13.0
1,778,9.0
1,602,5.4
19,871,6.0
0,995,6.5
3,940,6.5
7,1504,8.8
20,1561,11.6
0,369,13.7
4,689,6.6
1,754,12.0
2,1595,13.4
0,1569,14.3
3,1093,5.9
12,2963,13.8
1,1122,10.3
6,1253,9.7
1,488,7.3
2,213,6.5
0,1051,8.5
14,1581,10.9
2,563,6.0
0,1045,14.4
7,1647,12.4
4,887,10.6
2,323,5.5
8,684,8.1
0,701,10.7
2,1291,14.8
6,1717,12.3
15,900,6.4
23,1999,9.5
9,826,8.2
0,1505,10.3
2,303,5.1
4,1545,14.5
3,364,7.8
5,1008,12.9
7,1248,9.9
7,2120,12.1
1,2727,14.8
19,884,7.3
4,1061,10.6
5,2558,13.2
0,669,12.3
1,677,11.7
17,693,5.1
1,414,12.0
1,1122,14.4
16,809,8.5
11,2844,13.2
5,2558,12.1
8,459,8.0
18,2359,14.8
3,1189,6.6
3,728,14.9
3,740,8.3
0,417,11.5
2,231,7.5
6,343,7.9
18,1344,7.3
11,639,5.5
7,2780,13.6
0,2017,9.5
21,2247,12.6
17,2058,13.1
1,812,8.3
2,1137,12.9
5,1298,10.6
0,1121,7.0
13,1274,7.5
4,1013,5.4
6,1580,13.0
4,733,9.1
1,572,7.2
0,714,11.4
9,835,7.4
1,680,10.3
2,1023,7.4
0,1442,11.2
1,1066,8.6
1,1142,9.6
0,1099,14.8
5,1014,7.9
2,1419,12.1
2,666,14.7
5,1466,7.8
0,886,8.7
13,2789,12.4
0,780,11.0
19,760,6.0
10,1524,12.3
16,942,8.3
4,852,9.8
11,1308,11.7
1,1130,7.6
4,1658,11.4
0,339,6.4
13,2581,14.8
8,1053,8.7
5,830,5.7
3,1048,8.3
8,2407,11.7
3,892,10.7
4,1385,12.8
1,709,5.2
1,1622,10.3
0,799,5.1
0,337,12.3
12,884,7.3
19,2159,12.8
5,478,9.0
5,1990,12.1
0,1129,8.3
10,2048,12.5
2,1527,14.9
5,1154,7.9
10,935,6.6
10,1519,10.0
4,2558,12.9
2,1605,11.4
3,1304,11.1
3,1000,11.0
0,465,6.9
4,1409,11.6
15,2656,14.1
8,1637,9.7
12,913,8.0
8,741,8.7
12,949,6.8
2,159,5.4
9,1830,14.1
5,710,6.0
8,331,5.1
7,1411,7.5
3,529,11.3
7,2024,13.7
14,1040,5.8
1,1146,7.8
0,1621,12.2
3,1264,12.8
5,380,6.0
6,910,5.1
4,1397,11.9
2,249,8.6
9,760,5.7
0,813,9.2
2,692,8.9
5,762,5.8
0,726,7.4
0,1003,10.6
0,338,8.8
7,1548,9.4
5,1843,14.8
9,846,5.5
12,1348,10.1
11,2121,11.8
0,650,5.4
22,1610,9.0
0,241,7.2
20,2181,13.3
2,2005,14.0
1,342,9.9
0,1079,11.0
7,1555,9.8
1,491,14.9
22,1273,7.8
12,1647,11.1
6,1385,9.8
2,678,5.6
1,470,14.7
12,1371,10.7
19,2456,14.3
0,695,8.1
19,1900,12.5
2,1473,13.0
4,501,9.0
16,2411,13.7
2,1219,14.5
6,787,5.6
2,1019,8.6
12,591,7.7
0,1131,14.4
7,968,5.1
2,1089,7.0
15,1969,9.8
3,501,5.0
9,1530,12.7
0,823,6.7
0,1567,9.2
3,1166,6.9
12,2587,12.5
14,1858,10.1
15,1393,11.1
2,579,5.5
7,1660,10.0
5,966,10.7
13,554,8.0
5,1583,10.3
6,1203,11.8
6,1502,10.1
1,898,9.3
9,1359,11.0
12,829,6.9
9,2554,13.5
9,946,5.7
8,1159,9.0
9,2024,13.7
1,1898,13.9
9,746,9.0
14,981,5.2
4,1315,12.7
0,1645,13.1
2,957,11.8
1,794,12.7
3,1057,8.7
6,1358,12.4
0,849,14.0
1,952,5.0
1,749,11.1
7,768,7.7
5,981,6.8
15,1416,7.0
5,746,5.6
2,943,7.1
10,1727,12.0
10,1375,13.7
0,474,10.3
0,364,12.3
14,2115,14.6
0,911,10.6
0,275,5.4
8,1334,9.3
3,670,9.0
9,1525,10.3
5,1434,9.4
19,570,6.4
7,1832,11.4
1,623,5.3
2,213,5.1
2,1179,8.6
3,379,5.7
0,429,6.2
18,460,5.6
8,619,6.0
15,1864,11.6
3,894,9.4
17,1551,8.2
6,1285,7.9
1,2774,14.7
5,774,6.9
11,1703,9.5
4,803,5.2
6,1199,15.0
6,392,5.1
22,1403,8.7
6,763,8.5
16,2167,11.9
5,249,6.0
9,1402,14.0
9,962,10.7
17,1866,9.5
21,1047,7.5
0,709,8.6
3,2367,13.5
4,1035,8.0
8,441,6.3
9,2510,11.6
7,1008,10.2
5,929,7.5
3,676,11.1
0,821,8.2
15,676,5.6
1,912,9.4
1,954,13.5
2,645,13.9
9,1306,11.3
13,1766,11.0
2,2163,14.9
9,1638,9.6
16,2173,14.0
19,2022,13.6
6,1860,13.4
0,617,6.1
7,588,5.0
2,219,6.8
10,1133,14.0
1,272,7.3
5,1126,8.7
6,1177,10.8
7,692,5.8
12,1237,9.5
17,1766,9.3
1,1102,11.0
12,1794,14.4
15,2200,12.5
10,707,8.9
3,970,5.5
22,1081,8.8
2,1167,9.1
6,493,8.1
15,1528,8.5
13,3214,14.6
21,1198,5.9
1,954,5.8
1,838,6.6
7,1896,14.7
3,724,8.6
9,1474,11.9
0,925,12.7
23,1024,6.1
3,620,5.1
1,1327,7.9
0,621,7.3
0,749,5.2
9,1465,10.0
0,619,10.5
21,2398,11.2
0,469,5.5
10,2507,13.5
14,1375,9.2
1,772,13.5
17,1693,8.1
7,1133,6.5
1,1399,12.8
2,984,11.6
17,1572,9.3
0,771,5.1
12,454,5.0
5,1290,13.5
4,689,8.3
0,1576,8.9
6,477,7.6
7,2722,13.5
2,1167,7.9
3,1599,14.2
2,2178,13.7
10,1919,14.1
1,1055,11.2
23,960,7.5
9,1120,14.7
5,1112,9.9
0,211,6.5
1,563,9.2
6,1448,9.2
10,1408,10.0
3,970,12.0
11,1852,12.0
4,1006,13.3
6,1959,11.0
2,1065,9.0
1,1034,9.8
13,1582,13.9
3,1993,11.0
10,1919,13.3
0,1422,11.2
1,584,7.6
7,1558,12.7
10,1355,9.4
10,1779,11.6
4,1195,12.3
9,1275,8.8
12,2631,14.3
8,1542,8.2
9,2383,14.1
1,1506,8.3
8,705,5.6
1,1061,10.6
4,1210,14.9
2,783,9.3
0,483,11.9
3,816,5.4
1,507,8.3
9,1886,14.1
10,942,7.6
19,2252,13.2
9,1508,11.6
1,1541,13.5
14,815,8.4
0,1321,9.4
4,784,5.6
1,842,8.7
3,2270,14.6
14,960,8.2
2,2349,14.4
18,1889,11.0
1,665,13.7
16,1979,10.5
9,682,5.9
16,2057,10.7
6,1831,9.3
8,564,6.6
8,383,6.4
8,1282,10.3
15,866,7.7
20,2643,14.9
15,784,7.2
3,1170,12.2
2,651,13.0
6,908,9.7
7,1151,13.3
8,1692,12.7
12,2209,14.3
13,2199,13.5
5,1582,12.5
3,820,11.4
7,932,5.4
5,944,6.2
20,1825,10.7
1,1562,10.9
2,1303,8.3
2,553,10.7
11,1962,14.6
1,548,5.4
4,545,8.4
6,719,12.2
0,529,7.7
2,990,5.3
10,1355,11.1
14,712,6.1
10,431,5.7
8,534,7.5
9,970,8.1
5,1568,10.2
13,1408,8.2
7,1916,14.1
1,1115,9.1
6,1052,8.3
1,751,11.5
9,879,11.2
1,777,6.1
0,1470,11.5
3,1250,11.7
4,2380,14.7
4,1925,12.6
15,624,7.3
0,937,11.6
5,440,9.1
7,953,6.5
7,1574,12.4
13,939,5.7
0,2289,13.7
4,1799,12.7
5,1302,7.3
7,713,5.6
13,1102,9.8
5,1278,13.8
13,1409,10.3
0,1198,8.5
8,2841,14.8
2,1128,10.0
5,249,5.5
0,1097,12.2
0,200,13.1
9,2566,14.8
10,1559,12.1
7,365,6.4
0,1471,13.7
2,1809,12.2
8,1658,14.1
12,1949,12.7
6,628,6.4
1,926,9.1
7,431,5.7
4,1085,6.6
6,917,5.9
17,1576,8.8
3,1980,14.4
14,1335,7.7
2,1290,8.7
13,1371,9.7
6,2629,13.1
2,828,9.6
11,1902,14.6
0,769,8.4
0,1225,9.8
13,854,7.6
4,1523,14.0
10,1090,8.6
11,1706,11.6
3,956,9.5
18,894,5.8
17,1908,12.9
18,1939,14.0
1,566,13.4
2,948,5.8
4,880,10.9
0,930,5.4
3,704,11.3
0,306,6.1
2,663,9.0
0,2042,14.7
14,1295,7.6
1,936,12.7
2,628,9.3
5,1494,9.6
5,1686,11.5
3,763,9.1
17,1173,7.8
0,836,10.3
5,866,5.9
3,494,9.8
4,474,7.7
6,2011,14.7
2,1884,14.2
6,2023,13.0
1,1042,13.9
18,2744,13.1
5,570,8.5
21,1966,10.9
9,1183,10.0
10,1133,6.5
13,3239,14.0
17,1798,10.4
14,2556,13.3
16,2297,13.1
9,1050,9.5
0,973,10.7
17,900,8.3
2,921,11.8
12,1773,10.5
0,485,11.4
11,3228,14.3
0,1002,10.7
8,1449,8.5
3,1552,9.7
0,632,14.0
0,361,5.2
3,1124,8.0
9,1890,12.4
0,575,9.4
1,1927,14.2
3,1026,11.5
1,728,9.5
4,1654,11.9
3,683,5.8
4,1544,9.4
14,2472,12.1
